      r[a_0]     n[bound]   n[unbound]
1.645028e-04 1.098653e+02 8.382455e+00
1.655666e-04 1.099184e+02 8.386507e+00
1.666373e-04 1.099712e+02 8.390533e+00
1.677149e-04 1.100236e+02 8.394532e+00
1.687994e-04 1.100757e+02 8.398506e+00
1.698910e-04 1.101274e+02 8.402453e+00
1.709897e-04 1.101788e+02 8.406375e+00
1.720954e-04 1.102299e+02 8.410270e+00
1.732083e-04 1.102806e+02 8.414140e+00
1.743284e-04 1.103310e+02 8.417985e+00
1.754557e-04 1.103811e+02 8.421805e+00
1.765903e-04 1.104308e+02 8.425599e+00
1.777323e-04 1.104802e+02 8.429368e+00
1.788817e-04 1.105293e+02 8.433113e+00
1.800384e-04 1.105780e+02 8.436832e+00
1.812027e-04 1.106265e+02 8.440528e+00
1.823745e-04 1.106746e+02 8.444198e+00
1.835539e-04 1.107224e+02 8.447844e+00
1.847409e-04 1.107698e+02 8.451467e+00
1.859355e-04 1.108170e+02 8.455065e+00
1.871379e-04 1.108638e+02 8.458639e+00
1.883481e-04 1.109104e+02 8.462189e+00
1.895661e-04 1.109566e+02 8.465716e+00
1.907920e-04 1.110025e+02 8.469219e+00
1.920258e-04 1.110481e+02 8.472699e+00
1.932675e-04 1.110934e+02 8.476155e+00
1.945174e-04 1.111384e+02 8.479589e+00
1.957752e-04 1.111831e+02 8.482999e+00
1.970413e-04 1.112275e+02 8.486387e+00
1.983155e-04 1.112716e+02 8.489751e+00
1.995979e-04 1.113154e+02 8.493093e+00
2.008887e-04 1.113589e+02 8.496413e+00
2.021878e-04 1.114022e+02 8.499710e+00
2.034953e-04 1.114451e+02 8.502985e+00
2.048112e-04 1.114877e+02 8.506238e+00
2.061357e-04 1.115301e+02 8.509469e+00
2.074687e-04 1.115721e+02 8.512678e+00
2.088104e-04 1.116139e+02 8.515865e+00
2.101607e-04 1.116554e+02 8.519030e+00
2.115197e-04 1.116966e+02 8.522174e+00
2.128876e-04 1.117375e+02 8.525297e+00
2.142643e-04 1.117782e+02 8.528398e+00
2.156498e-04 1.118185e+02 8.531478e+00
2.170444e-04 1.118586e+02 8.534537e+00
2.184480e-04 1.118984e+02 8.537575e+00
2.198606e-04 1.119380e+02 8.540592e+00
2.212824e-04 1.119773e+02 8.543589e+00
2.227134e-04 1.120163e+02 8.546565e+00
