     x         r      Vcoul     Vexc       V        rV      dNedr_b    dNedr_s   dNedr_f   dNedr      ne_b      ne_s      ne_f     ne
1.5553e-03 2.1701e-03 4.595e+02 2.653e-01 4.598e+02 9.977e-01 0.000e+00 2.488e-05 1.145e-04 2.488e-05 0.000e+00 4.205e-01 1.935e+00 4.205e-01 
1.5666e-03 2.1859e-03 4.562e+02 2.653e-01 4.564e+02 9.977e-01 0.000e+00 2.525e-05 1.158e-04 2.525e-05 0.000e+00 4.205e-01 1.928e+00 4.205e-01 
1.5780e-03 2.2017e-03 4.529e+02 2.653e-01 4.531e+02 9.977e-01 0.000e+00 2.561e-05 1.170e-04 2.561e-05 0.000e+00 4.205e-01 1.921e+00 4.205e-01 
1.5895e-03 2.2177e-03 4.496e+02 2.653e-01 4.499e+02 9.977e-01 0.000e+00 2.599e-05 1.183e-04 2.599e-05 0.000e+00 4.205e-01 1.914e+00 4.205e-01 
1.6011e-03 2.2339e-03 4.463e+02 2.653e-01 4.466e+02 9.977e-01 0.000e+00 2.637e-05 1.196e-04 2.637e-05 0.000e+00 4.205e-01 1.907e+00 4.205e-01 
1.6127e-03 2.2501e-03 4.431e+02 2.653e-01 4.434e+02 9.977e-01 0.000e+00 2.675e-05 1.209e-04 2.675e-05 0.000e+00 4.204e-01 1.901e+00 4.204e-01 
1.6244e-03 2.2664e-03 4.399e+02 2.653e-01 4.402e+02 9.976e-01 0.000e+00 2.714e-05 1.222e-04 2.714e-05 0.000e+00 4.204e-01 1.894e+00 4.204e-01 
1.6362e-03 2.2829e-03 4.367e+02 2.653e-01 4.370e+02 9.976e-01 0.000e+00 2.753e-05 1.236e-04 2.753e-05 0.000e+00 4.204e-01 1.887e+00 4.204e-01 
1.6481e-03 2.2995e-03 4.336e+02 2.653e-01 4.338e+02 9.976e-01 0.000e+00 2.794e-05 1.249e-04 2.794e-05 0.000e+00 4.204e-01 1.880e+00 4.204e-01 
1.6601e-03 2.3162e-03 4.304e+02 2.653e-01 4.307e+02 9.976e-01 0.000e+00 2.834e-05 1.263e-04 2.834e-05 0.000e+00 4.204e-01 1.873e+00 4.204e-01 
1.6721e-03 2.3331e-03 4.273e+02 2.653e-01 4.276e+02 9.976e-01 0.000e+00 2.875e-05 1.277e-04 2.875e-05 0.000e+00 4.204e-01 1.866e+00 4.204e-01 
1.6843e-03 2.3500e-03 4.242e+02 2.653e-01 4.245e+02 9.976e-01 0.000e+00 2.917e-05 1.291e-04 2.917e-05 0.000e+00 4.204e-01 1.860e+00 4.204e-01 
1.6965e-03 2.3671e-03 4.212e+02 2.653e-01 4.214e+02 9.975e-01 0.000e+00 2.960e-05 1.305e-04 2.960e-05 0.000e+00 4.204e-01 1.853e+00 4.204e-01 
1.7089e-03 2.3843e-03 4.181e+02 2.653e-01 4.184e+02 9.975e-01 0.000e+00 3.003e-05 1.319e-04 3.003e-05 0.000e+00 4.204e-01 1.846e+00 4.204e-01 
1.7213e-03 2.4016e-03 4.151e+02 2.653e-01 4.153e+02 9.975e-01 0.000e+00 3.047e-05 1.333e-04 3.047e-05 0.000e+00 4.203e-01 1.839e+00 4.203e-01 
1.7338e-03 2.4191e-03 4.121e+02 2.653e-01 4.123e+02 9.975e-01 0.000e+00 3.091e-05 1.348e-04 3.091e-05 0.000e+00 4.203e-01 1.833e+00 4.203e-01 
1.7464e-03 2.4366e-03 4.091e+02 2.653e-01 4.094e+02 9.975e-01 0.000e+00 3.136e-05 1.363e-04 3.136e-05 0.000e+00 4.203e-01 1.826e+00 4.203e-01 
